"OKRES","KODZASTUP","NAZEVZAST","COBVODU","POR_STR_HL","OSTRANA","VSTRANA","NAZEVCELK","ZKRATKAO30","ZKRATKAO8","POCSTR_SLO","SLOZENI","HLASY_STR","PROCHLSTR","MAND_STR","MANDATY","POCOBYV","KOALICE","OFICIALNI"
3104,549240,"Písek",1,4,1322,1322,"PRO PÍSEK","PRO PÍSEK","VPM+TOP09+JIH12",3,"113,721,766",42250,19.77,6,27,30119,TRUE,TRUE
3104,549240,"Písek",1,6,768,768,"ANO 2011","ANO 2011","ANO",1,"768",29929,12.97,4,27,30119,FALSE,TRUE
3104,549240,"Písek",1,7,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",35369,15.33,5,27,30119,FALSE,TRUE
3104,549240,"Písek",1,8,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",18564,8.04,2,27,30119,FALSE,TRUE
3104,549240,"Písek",1,10,482,482,"PÍSEK SOBĚ - sdružení nezávislých kandidátů","PÍSEK SOBĚ - SNK",NA,2,"80,715",13472,5.83,1,27,30119,FALSE,TRUE
3105,550094,"Prachatice",1,2,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",5502,6.45,1,21,10917,TRUE,TRUE
3105,550094,"Prachatice",1,3,901,90,"PRO Prachatice","PRO Prachatice","SNK",1,"80",6862,8.04,2,21,10917,FALSE,TRUE
3105,550094,"Prachatice",1,4,768,768,"ANO 2011","ANO 2011","ANO",1,"768",6173,7.24,1,21,10917,TRUE,TRUE
3105,550094,"Prachatice",1,5,902,90,"Živé Prachatice","Živé Prachatice","SNK",1,"80",10396,12.19,3,21,10917,FALSE,TRUE
3105,550094,"Prachatice",1,6,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",4777,5.6,1,21,10917,FALSE,TRUE
3105,550094,"Prachatice",1,7,88,88,"NEZÁVISLÍ","NEZÁVISLÍ","NEZ",1,"88",26700,31.31,8,21,10917,TRUE,TRUE
3105,550094,"Prachatice",1,8,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",15945,18.7,4,21,10917,FALSE,TRUE
3105,550094,"Prachatice",1,9,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",4765,5.86,1,21,10917,FALSE,TRUE
3106,550787,"Strakonice",1,2,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",9524,5.29,1,21,22888,FALSE,TRUE
3106,550787,"Strakonice",1,6,742,742,"Strakonická Veřejnost","Strakonická Veřejnost","SV",1,"742",91986,51.15,16,21,22888,TRUE,TRUE
3106,550787,"Strakonice",1,8,480,480,"TOP 09 a nezávislí","TOP 09 a nezávislí",NA,2,"80,721",10294,5.72,1,21,22888,FALSE,TRUE
3106,550787,"Strakonice",1,9,766,766,"JIHOČEŠI 2012","JIHOČEŠI 2012","JIH 12",1,"766",17307,9.62,3,21,22888,FALSE,TRUE
3107,552046,"Tábor",1,1,364,364,"JiNAK!","JiNAK!","Zelení+NK",2,"5,080",26997,9.86,3,27,34467,TRUE,TRUE
3107,552046,"Tábor",1,3,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",14239,5.2,1,27,34467,TRUE,TRUE
3107,552046,"Tábor",1,4,901,90,"Sdružení nezávislých kandidátů Tábor sobě","SNK Tábor sobě","SNK",1,"80",26821,9.79,3,27,34467,FALSE,TRUE
3107,552046,"Tábor",1,5,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",19994,7.3,2,27,34467,FALSE,TRUE
3107,552046,"Tábor",1,6,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",20908,7.63,2,27,34467,FALSE,TRUE
3107,552046,"Tábor",1,8,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",30939,11.3,4,27,34467,TRUE,TRUE
3107,552046,"Tábor",1,11,136,136,"Tábor 2020","Tábor 2020","T2020",1,"136",51975,18.98,6,27,34467,TRUE,TRUE
3107,552046,"Tábor",1,12,768,768,"ANO 2011","ANO 2011","ANO",1,"768",48500,17.71,6,27,34467,FALSE,TRUE
3201,553425,"Domažlice",1,2,768,768,"ANO 2011","ANO 2011","ANO",1,"768",9834,13.45,3,21,11233,FALSE,FALSE
3201,553425,"Domažlice",1,3,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",8737,11.95,3,21,11233,FALSE,FALSE
3201,553425,"Domažlice",1,4,470,470,"SDRUŽENÍ PRO MĚSTO DOMAŽLICE","SDRUŽENÍ PRO MĚSTO DOMAŽLICE",NA,2,"80,166",16751,22.92,5,21,11233,FALSE,FALSE
3201,553425,"Domažlice",1,5,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",5970,8.16,2,21,11233,FALSE,FALSE
3201,553425,"Domažlice",1,6,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",6851,9.37,2,21,11233,FALSE,FALSE
3201,553425,"Domažlice",1,7,1,1,"Křesťanská a demokratická unie - Československá strana lidová","Křesť.demokr.unie-Čs.str.lid.","KDU-ČSL",1,"1",7731,10.57,2,21,11233,FALSE,FALSE
3201,553425,"Domažlice",1,9,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",11705,16.01,4,21,11233,FALSE,FALSE
4101,554481,"Cheb",1,1,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",16901,6.65,2,30,32171,FALSE,TRUE
4101,554481,"Cheb",1,2,768,768,"ANO 2011","ANO 2011","ANO",1,"768",33929,13.35,5,30,32171,FALSE,TRUE
4101,554481,"Cheb",1,4,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",16602,6.53,2,30,32171,TRUE,TRUE
4101,554481,"Cheb",1,5,470,470,"VOLBA PRO MĚSTO CHEB","VOLBA PRO MĚSTO CHEB",NA,2,"80,166",114878,45.21,17,30,32171,TRUE,TRUE
4101,554481,"Cheb",1,10,353,353,"ODS ve spolupráci s KDU-ČSL a nezávislými kandidáty","Sdružení KDU-ČSL, ODS, NK",NA,3,"1,053,080",12909,5.08,1,30,32171,FALSE,TRUE
4101,554481,"Cheb",1,11,501,501,"Koalice pro Cheb","Koalice pro Cheb","Zelení+TOP09+NK",3,"5,080,721",16348,6.43,2,30,32171,TRUE,TRUE
4101,554481,"Cheb",1,12,1207,1207,"Hnutí 2018","Hnutí 2018","H2018",1,"1207",13211,5.19,1,30,32171,TRUE,TRUE
3203,554791,"Plzeň",1,2,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",257260,11.69,7,47,170936,FALSE,TRUE
3203,554791,"Plzeň",1,3,355,355,"KDU-ČSL - PRAVÁ VOLBA PRO PLZEŇ","KDU-ČSL- PRAVÁ VOLBA PRO PLZEŇ",NA,2,"1,080",144203,6.55,4,47,170936,FALSE,TRUE
3203,554791,"Plzeň",1,5,721,721,"TOP 09","TOP 09","TOP 09",1,"721",150150,6.82,4,47,170936,TRUE,TRUE
3203,554791,"Plzeň",1,7,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",486401,22.11,13,47,170936,TRUE,TRUE
3203,554791,"Plzeň",1,9,768,768,"ANO 2011","ANO 2011","ANO",1,"768",488324,22.19,13,47,170936,TRUE,TRUE
3203,554791,"Plzeň",1,11,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",124055,5.63,3,47,170936,FALSE,TRUE
3203,554791,"Plzeň",1,13,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",141073,6.55,3,47,170936,TRUE,TRUE
4207,554804,"Ústí nad Labem",1,2,1128,1128,"Vaše Ústí","Vaše Ústí","VÚ",1,"1128",56998,7.34,3,37,93040,FALSE,TRUE
4207,554804,"Ústí nad Labem",1,3,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",52562,6.77,3,37,93040,FALSE,TRUE
4207,554804,"Ústí nad Labem",1,4,529,529,"PRO! Ústí","PRO! Ústí","Zel.+Piráti+NK",3,"5,080,720",131770,16.97,8,37,93040,FALSE,TRUE
4207,554804,"Ústí nad Labem",1,5,1012,1012,"ÚSTECKÉ FÓRUM OBČANŮ","ÚSTECKÉ FÓRUM OBČANŮ","UFO",1,"1012",91443,11.77,5,37,93040,TRUE,TRUE
4207,554804,"Ústí nad Labem",1,6,785,785,"PRO Zdraví a Sport","PRO Zdraví a Sport","PRO Zdraví",1,"785",43231,5.56,2,37,93040,TRUE,TRUE
4207,554804,"Ústí nad Labem",1,7,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",52706,6.78,3,37,93040,FALSE,TRUE
4207,554804,"Ústí nad Labem",1,10,768,768,"ANO 2011","ANO 2011","ANO",1,"768",160293,21.22,9,37,93040,TRUE,TRUE
4207,554804,"Ústí nad Labem",1,12,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",65832,8.47,4,37,93040,TRUE,TRUE
8106,554821,"Ostrava",1,1,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",215047,5.52,3,55,290450,FALSE,TRUE
8106,554821,"Ostrava",1,4,355,355,"KDU-ČSL a nezávislí kandidáti","KDU-ČSL a nezávislí kandidáti",NA,2,"1,080",226779,5.82,3,55,290450,TRUE,TRUE
8106,554821,"Ostrava",1,6,768,768,"ANO 2011","ANO 2011","ANO",1,"768",1273101,32.71,21,55,290450,TRUE,TRUE
8106,554821,"Ostrava",1,8,755,755,"Ostravak","Ostravak","Ostravak",1,"755",447207,11.49,7,55,290450,FALSE,TRUE
8106,554821,"Ostrava",1,9,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",263323,6.76,4,55,290450,FALSE,TRUE
8106,554821,"Ostrava",1,11,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",348514,8.95,6,55,290450,FALSE,TRUE
8106,554821,"Ostrava",1,14,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",378658,9.73,6,55,290450,FALSE,TRUE
8106,554821,"Ostrava",1,15,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",348337,8.95,5,55,290450,TRUE,TRUE
4102,554961,"Karlovy Vary",1,3,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",23120,5.06,2,35,48776,FALSE,TRUE
4102,554961,"Karlovy Vary",1,8,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",45500,9.97,5,35,48776,FALSE,TRUE
4102,554961,"Karlovy Vary",1,9,1028,1028,"Karlovaráci","Karlovaráci","KVC",1,"1028",71318,15.62,8,35,48776,TRUE,TRUE
4102,554961,"Karlovy Vary",1,12,182,182,"Karlovarská občanská alternativa","Karlovar.občanská alternativa","KOA",1,"182",51870,11.36,5,35,48776,FALSE,TRUE
4102,554961,"Karlovy Vary",1,14,389,389,"Občanská demokratická strana s podporou Strany soukromníků ČR a Mladých konzervativců","ODS s podp. Str. s. ČR a MK",NA,2,"53,080",35401,7.75,3,35,48776,TRUE,TRUE
4102,554961,"Karlovy Vary",1,15,768,768,"ANO 2011","ANO 2011","ANO",1,"768",108878,23.85,12,35,48776,TRUE,TRUE
5302,555134,"Pardubice",1,1,1387,1387,"Koalice pro Pardubice","Koalice pro Pardubice","KDU+Nestr.+TOP",3,"1,181,721",69755,7.18,3,39,90335,TRUE,TRUE
5302,555134,"Pardubice",1,2,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",109059,11.22,5,39,90335,FALSE,TRUE
5302,555134,"Pardubice",1,3,449,449,"Sdružení pro Pardubice","Sdružení pro Pardubice",NA,2,"80,129",59756,6.15,3,39,90335,TRUE,TRUE
5302,555134,"Pardubice",1,5,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",141752,14.59,7,39,90335,TRUE,TRUE
5302,555134,"Pardubice",1,6,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",50056,5.15,2,39,90335,FALSE,TRUE
5302,555134,"Pardubice",1,7,1386,1386,"Pardubáci společně: Pardubáci, Patrioti a STAN","Pardubáci společně","STAN+VČ+PATRIOT",3,"166,770,776",87027,8.96,4,39,90335,FALSE,TRUE
5302,555134,"Pardubice",1,8,371,371,"Česká strana sociálně demokratická a nestraníci pro Pardubice","ČSSD a nestran. pro Pardubice",NA,2,"7,080",56770,5.84,2,39,90335,TRUE,TRUE
5302,555134,"Pardubice",1,13,768,768,"ANO 2011","ANO 2011","ANO",1,"768",258888,26.65,13,39,90335,TRUE,TRUE
3202,555771,"Klatovy",1,2,768,768,"ANO 2011","ANO 2011","ANO",1,"768",23013,15.22,4,27,22288,FALSE,TRUE
3202,555771,"Klatovy",1,3,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",14450,8.49,2,27,22288,FALSE,TRUE
3202,555771,"Klatovy",1,4,449,449,"Sdružení pro Klatovy","Sdružení pro Klatovy",NA,2,"80,129",14597,11.03,3,27,22288,FALSE,TRUE
3202,555771,"Klatovy",1,5,181,181,"Nestraníci","Nestraníci","Nestran.",1,"181",26634,15.65,5,27,22288,TRUE,TRUE
3202,555771,"Klatovy",1,7,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",9658,5.67,1,27,22288,FALSE,TRUE
3202,555771,"Klatovy",1,9,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",12443,7.31,2,27,22288,FALSE,TRUE
3202,555771,"Klatovy",1,10,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",53195,31.27,10,27,22288,TRUE,TRUE
3206,559717,"Rokycany",1,2,88,88,"NEZÁVISLÍ","NEZÁVISLÍ","NEZ",1,"88",15596,19.38,5,21,14074,TRUE,TRUE
3206,559717,"Rokycany",1,4,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",6112,7.59,2,21,14074,FALSE,TRUE
3206,559717,"Rokycany",1,5,768,768,"ANO 2011","ANO 2011","ANO",1,"768",10485,13.03,3,21,14074,TRUE,TRUE
3206,559717,"Rokycany",1,7,457,457,"ROKYCANŠTÍ  PATRIOTI","ROKYCANŠTÍ  PATRIOTI",NA,2,"80,181",13280,16.5,4,21,14074,TRUE,TRUE
3206,559717,"Rokycany",1,9,1432,1432,"PRO ZDRAVÍ A SPORT + STAROSTOVÉ A NEZÁVISLÍ","Pro zdraví a sport+star.a nez.","STAN+PROZdr+NK",3,"80,166,785",4031,5.01,1,21,14074,FALSE,TRUE
3206,559717,"Rokycany",1,10,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",11975,14.88,4,21,14074,TRUE,TRUE
3206,559717,"Rokycany",1,11,364,364,"Pro naše Rokycany - sdružení Strany zelených a nezávislých kandidátů","Pro naše Rokyc. sdr Zelení, NK","Zelení+NK",2,"5,080",8575,10.66,2,21,14074,FALSE,TRUE
4103,560286,"Sokolov",1,1,389,389,"Hnutí pro město Sokolov","Hnutí pro město Sokolov",NA,2,"53,080",25389,19.54,6,27,23438,TRUE,TRUE
4103,560286,"Sokolov",1,2,768,768,"ANO 2011","ANO 2011","ANO",1,"768",31055,23.9,7,27,23438,TRUE,TRUE
4103,560286,"Sokolov",1,3,1350,1350,"Piráti Sokolov s podporou Starostů a nezávislých","Piráti Sok.s podp.Star.a nezá","STAN+Piráti",2,"166,720",18675,14.37,4,27,23438,FALSE,TRUE
4103,560286,"Sokolov",1,4,364,364,"Radnice Středu","Radnice Středu","Zelení+NK",2,"5,080",16061,12.36,4,27,23438,FALSE,TRUE
4103,560286,"Sokolov",1,5,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",19387,14.92,4,27,23438,TRUE,TRUE
4103,560286,"Sokolov",1,9,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",11631,8.95,2,27,23438,FALSE,TRUE
3207,560715,"Tachov",1,1,902,90,"Patrioti Tachova","Patrioti Tachova","SNK",1,"80",23396,32.5,7,21,12706,TRUE,TRUE
3207,560715,"Tachov",1,3,901,90,"""Volím Tachov""","""Volím Tachov""","SNK",1,"80",19759,27.44,6,21,12706,FALSE,TRUE
3207,560715,"Tachov",1,4,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",9437,13.11,3,21,12706,FALSE,TRUE
3207,560715,"Tachov",1,5,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",8459,11.75,2,21,12706,TRUE,TRUE
3207,560715,"Tachov",1,6,768,768,"ANO 2011","ANO 2011","ANO",1,"768",9862,13.7,3,21,12706,TRUE,TRUE
5101,561380,"Česká Lípa",1,1,497,497,"NaS - Nezávislí a soukromníci","NaS - Nezávislí a soukromníci","Soukromníci+NK",2,"80,716",13047,5.95,1,25,37405,TRUE,TRUE
5101,561380,"Česká Lípa",1,2,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",17506,7.99,2,25,37405,TRUE,TRUE
5101,561380,"Česká Lípa",1,3,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",21112,9.63,3,25,37405,FALSE,TRUE
5101,561380,"Česká Lípa",1,5,339,339,"PRO Českou Lípu","PRO Českou Lípu","KDU-ČSL+Nestran",2,"1,181",16898,8.03,2,25,37405,FALSE,TRUE
5101,561380,"Česká Lípa",1,9,475,475,"ŽIVÁ LÍPA","ŽIVÁ LÍPA",NA,2,"80,703",48956,22.34,6,25,37405,TRUE,TRUE
5101,561380,"Česká Lípa",1,11,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",18270,8.34,2,25,37405,FALSE,TRUE
5101,561380,"Česká Lípa",1,12,768,768,"ANO 2011","ANO 2011","ANO",1,"768",52557,23.99,7,25,37405,TRUE,TRUE
5101,561380,"Česká Lípa",1,13,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",12158,5.55,1,25,37405,FALSE,TRUE
5101,561380,"Česká Lípa",1,14,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",11118,5.07,1,25,37405,FALSE,TRUE
4201,562335,"Děčín",1,1,1083,1083,"Náš Děčín","Náš Děčín","Starost.+PROZdr",2,"142,785",45046,14.02,4,27,49226,TRUE,TRUE
4201,562335,"Děčín",1,2,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",20871,6.49,2,27,49226,FALSE,TRUE
4201,562335,"Děčín",1,3,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",19162,5.96,1,27,49226,TRUE,TRUE
4201,562335,"Děčín",1,4,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",19496,6.3,2,27,49226,FALSE,TRUE
4201,562335,"Děčín",1,5,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",17371,6.08,1,27,49226,FALSE,TRUE
4201,562335,"Děčín",1,6,768,768,"ANO 2011","ANO 2011","ANO",1,"768",89879,27.97,9,27,49226,TRUE,TRUE
4201,562335,"Děčín",1,7,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",28482,8.86,2,27,49226,FALSE,TRUE
4201,562335,"Děčín",1,8,540,540,"Změna pro Děčín","Změna pro Děčín",NA,3,"1,080,721",26094,8.12,2,27,49226,FALSE,TRUE
4201,562335,"Děčín",1,10,470,470,"Volba pro Děčín","Volba pro Děčín",NA,2,"80,166",45375,14.12,4,27,49226,TRUE,TRUE
4202,562971,"Chomutov",1,2,768,768,"ANO 2011","ANO 2011","ANO",1,"768",90451,25.13,10,35,48666,FALSE,FALSE
4202,562971,"Chomutov",1,4,1346,1346,"PRO Chomutov","PRO Chomutov",NA,7,"001,005,080,166,720,721,1126",82905,23.04,9,35,48666,FALSE,FALSE
4202,562971,"Chomutov",1,5,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",22674,6.48,2,35,48666,FALSE,FALSE
4202,562971,"Chomutov",1,6,1017,1017,"NOVÝ SEVER","NOVÝ SEVER","NS",1,"1017",61480,17.08,7,35,48666,FALSE,FALSE
4202,562971,"Chomutov",1,7,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",24404,6.78,2,35,48666,FALSE,FALSE
4202,562971,"Chomutov",1,8,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",33170,9.21,3,35,48666,FALSE,FALSE
4202,562971,"Chomutov",1,9,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",18721,5.2,2,35,48666,FALSE,FALSE
5103,563889,"Liberec",1,3,703,703,"Starostové pro Liberecký kraj","Starostové pro Liberecký kraj","SLK",1,"703",381613,32.1,16,39,103979,TRUE,TRUE
5103,563889,"Liberec",1,4,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",99621,8.38,4,39,103979,TRUE,TRUE
5103,563889,"Liberec",1,5,768,768,"ANO 2011","ANO 2011","ANO",1,"768",253959,21.36,11,39,103979,TRUE,TRUE
5103,563889,"Liberec",1,6,1363,1363,"Liberec otevřený lidem - LOL!","Liberec otevřený lidem - LOL!","TJ.+NK",2,"801,185",62686,5.27,2,39,103979,FALSE,TRUE
5103,563889,"Liberec",1,10,521,521,"Změna pro Liberec","Změna pro Liberec","Zelení+Změna+NK",3,"5,080,771",157737,13.26,6,39,103979,FALSE,TRUE
4203,564567,"Litoměřice",1,1,768,768,"ANO 2011","ANO 2011","ANO",1,"768",43527,22.19,7,27,24045,FALSE,TRUE
4203,564567,"Litoměřice",1,2,470,470,"Sport a Zdraví Litoměřice","Sport a Zdraví Litoměřice",NA,2,"80,166",11856,6.04,2,27,24045,TRUE,TRUE
4203,564567,"Litoměřice",1,3,518,518,"Severočeši Litoměřice","Severočeši Litoměřice","ProKraj+NK",2,"80,747",17876,9.11,3,27,24045,TRUE,TRUE
4203,564567,"Litoměřice",1,6,1066,1066,"Zelení a Piráti","Zelení a Piráti","Zelení+Piráti",2,"5,720",21774,11.1,4,27,24045,FALSE,TRUE
4203,564567,"Litoměřice",1,7,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",15745,8.02,2,27,24045,FALSE,TRUE
4203,564567,"Litoměřice",1,10,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",53631,27.34,9,27,24045,TRUE,TRUE
4204,565971,"Louny",1,1,119,119,"Unie pro sport a zdraví","Unie pro sport a zdraví","USZ",1,"119",15945,10.42,3,29,18446,FALSE,FALSE
4204,565971,"Louny",1,2,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",13135,8.58,2,29,18446,FALSE,FALSE
4204,565971,"Louny",1,3,479,479,"LOUNY SPOLU","LOUNY SPOLU","KDUČSL+Zel.+NK",3,"1,005,080",21911,14.32,4,29,18446,FALSE,FALSE
4204,565971,"Louny",1,4,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",19724,12.89,4,29,18446,FALSE,FALSE
4204,565971,"Louny",1,5,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",8587,5.61,1,29,18446,FALSE,FALSE
4204,565971,"Louny",1,6,768,768,"ANO 2011","ANO 2011","ANO",1,"768",26631,18.02,5,29,18446,FALSE,FALSE
4204,565971,"Louny",1,7,1377,1377,"PRO LEPŠÍ LOUNY - TOP 09, nezávislí a hnutí PRO Zdraví a Sport","PRO LEPŠÍ LOUNY TOP,NK,PRO Zdr","TOP+PROZdrav+NK",3,"80,721,785",18633,12.17,4,29,18446,FALSE,FALSE
4204,565971,"Louny",1,8,113,113,"Volba pro město","Volba pro město","VPM",1,"113",10391,6.79,2,29,18446,FALSE,FALSE
4204,565971,"Louny",1,9,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"7",18025,11.78,4,29,18446,FALSE,FALSE
4205,567027,"Most",1,1,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",58284,8.52,4,45,66644,FALSE,FALSE
4205,567027,"Most",1,3,1066,1066,"Piráti a Zelení pro Most","Piráti a Zelení pro Most","Piráti+SZ",2,"5,720",60698,8.87,4,45,66644,FALSE,FALSE
4205,567027,"Most",1,4,536,536,"Sdružení Mostečané Mostu","Sdružení Mostečané Mostu",NA,2,"801,017",110798,16.2,8,45,66644,FALSE,FALSE
4205,567027,"Most",1,5,768,768,"ANO 2011","ANO 2011","ANO",1,"768",111512,16.3,9,45,66644,FALSE,FALSE
4205,567027,"Most",1,11,1175,1175,"ProMOST","ProMOST","ProMOST",1,"1175",198970,29.09,16,45,66644,FALSE,FALSE
4205,567027,"Most",1,12,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",54833,8.01,4,45,66644,FALSE,FALSE
4206,567442,"Teplice",1,2,1114,1114,"Svoboda a přímá demokracie - Tomio Okamura (SPD)","Svob.a př.dem.-T.Okamura (SPD)","SPD",1,"1114",24998,7.72,2,27,49563,FALSE,TRUE
4206,567442,"Teplice",1,4,1344,1344,"VOLBA PRO! TEPLICE","VOLBA PRO! TEPLICE","KDU+Zel+TOP+NK",4,"1,005,080,721",84891,26.23,8,27,49563,FALSE,TRUE
4206,567442,"Teplice",1,5,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",20082,6.2,2,27,49563,FALSE,TRUE
4206,567442,"Teplice",1,6,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",94894,29.32,9,27,49563,TRUE,TRUE
4206,567442,"Teplice",1,7,768,768,"ANO 2011","ANO 2011","ANO",1,"768",59745,18.46,5,27,49563,TRUE,TRUE
4206,567442,"Teplice",1,8,1083,1083,"Pro Zdraví a Sport TEPLICE","Pro Zdraví a Sport TEPLICE",NA,2,"142,785",19303,5.96,1,27,49563,FALSE,TRUE
6101,568414,"Havlíčkův Brod",1,1,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",11797,6.69,1,25,23101,FALSE,TRUE
6101,568414,"Havlíčkův Brod",1,2,1412,1412,"ANO 2011 - Ženy za Brod","ANO 2011 - Ženy za Brod","ŽB+ANO",2,"731,768",30478,17.28,5,25,23101,TRUE,TRUE
6101,568414,"Havlíčkův Brod",1,3,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"47",18692,10.6,3,25,23101,FALSE,TRUE
6101,568414,"Havlíčkův Brod",1,4,721,721,"TOP 09","TOP 09","TOP 09",1,"721",13555,7.68,2,25,23101,TRUE,TRUE
6101,568414,"Havlíčkův Brod",1,5,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"53",30582,17.34,5,25,23101,TRUE,TRUE
